epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14136,1.50064,4.44842,1.51952,0.06368,0.33333,0.05387,0.05387,0.60537,3.84979,0.89508,4e-05,4e-05,4e-05
2,5.85407,1.24593,4.33666,1.29305,0.46035,0.33333,0.27171,0.25094,0.5531,2.6232,0.92439,9.901e-05,9.901e-05,9.901e-05
3,7.96859,1.33621,2.08162,1.3559,1,0.33333,0.43106,0.35503,0.82172,3.51107,1.1026,0.000156832,0.000156832,0.000156832
4,13.341,1.19234,2.44656,1.31272,0.4943,0.981,0.665,0.28352,1.6238,2.58681,1.18818,0.000213466,0.000213466,0.000213466
5,15.7184,1.35893,1.7492,1.31001,0.97659,1,0.995,0.57584,1.28666,2.06379,1.49272,0.000268912,0.000268912,0.000268912
6,18.3815,1.21633,1.51183,1.24397,0.63034,0.33333,0.515,0.23882,1.47091,4.43692,1.75822,0.00032317,0.00032317,0.00032317
7,20.3061,1.2417,1.37075,1.28355,1,0.66667,0.80643,0.31541,1.68863,9.50721,1.66477,0.00037624,0.00037624,0.00037624
8,22.7232,1.318,1.40432,1.34099,0.48353,0.66667,0.34685,0.20473,1.61891,2.7946,1.72454,0.000428122,0.000428122,0.000428122
9,24.6164,1.17088,1.68879,1.29009,0.39389,0.66667,0.59625,0.39838,1.59865,5.87616,1.93558,0.000478816,0.000478816,0.000478816
10,26.6523,1.22313,1.41202,1.36431,0.25411,0.66667,0.34429,0.17361,1.83158,5.4197,1.7412,0.000528322,0.000528322,0.000528322
11,29.0879,1.19931,1.24545,1.19776,0.95519,0.33333,0.37468,0.25061,1.78716,2.04543,1.99408,0.00057664,0.00057664,0.00057664
12,31.6314,1.28758,1.6108,1.49313,0.02037,1,0.02087,0.01003,1.66444,70.0415,1.77891,0.00062377,0.00062377,0.00062377
13,35.6955,1.32164,1.36029,1.53927,0.88529,0.33333,0.34158,0.2716,1.44616,2.71256,1.64137,0.000669712,0.000669712,0.000669712
14,39.7317,1.18433,1.25229,1.31232,0.1862,1,0.24367,0.13274,1.80774,6.21118,1.93364,0.000714466,0.000714466,0.000714466
15,42.1165,1.36412,1.09115,1.40688,0.02596,1,0.02618,0.01249,1.65788,368.307,2.47296,0.000758032,0.000758032,0.000758032
16,44.3945,1.12396,1.16262,1.35308,0.09091,0.33333,0.37457,0.06096,1.31939,27.456,2.28018,0.00080041,0.00080041,0.00080041
17,50.0292,1.20713,1.05661,1.32144,0.01201,0.33333,0.00553,0.00461,1.15035,408.907,1.33693,0.0008416,0.0008416,0.0008416
18,51.9817,1.2519,1.1757,1.3912,0.01328,0.33333,0.0049,0.00392,2.416,568.908,2.44642,0.000881602,0.000881602,0.000881602
19,54.2059,1.31102,1.17762,1.55552,0,0,0,0,3.81377,3584.72,50.9699,0.000920416,0.000920416,0.000920416
20,56.5984,1.06752,0.93009,1.20099,0,0,0,0,5.24081,3932.48,8.66281,0.000958042,0.000958042,0.000958042
21,59.1546,1.23614,1.19288,1.46134,0,0,0,0,nan,nan,nan,0.00099448,0.00099448,0.00099448
22,61.4156,1.18353,0.89005,1.25589,0,0,0,0,nan,nan,nan,0.00102973,0.00102973,0.00102973
23,64.0604,1.21105,1.00684,1.39117,0,0,0,0,nan,nan,nan,0.00106379,0.00106379,0.00106379
24,66.0393,1.10989,0.95528,1.35976,0,0,0,0,nan,nan,nan,0.00109667,0.00109667,0.00109667
25,68.1221,1.30183,0.88882,1.36689,0,0,0,0,4.80391,8188.9,27.8842,0.00112835,0.00112835,0.00112835
26,70.4822,1.25654,1.04474,1.53085,0,0,0,0,5.43381,5010.33,10.9923,0.00115885,0.00115885,0.00115885
27,72.625,1.27255,1.01492,1.52888,0,0,0,0,4.87037,353.18,7.16719,0.00118816,0.00118816,0.00118816
